Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Sugars, Total","Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Lutein + zeaxanthin,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na",Citric acid,Malic acid,Oxalic acid,Quinic acid
"Apple juice, with added vitamin C, from concentrate, shelf stable",48.0,88.1,0.0859,0.286,11.4,0.124,10.3,3.09,51.2,0.0103,0.0139,,0.0,,,,7.1,95.9,0.00212,,0.0271,5.99,4.86,0.0034,0.0402,4.87,0.0,360.0,0.0,0.0
"Apples, fuji, with skin, raw",65.0,83.6,0.148,0.162,15.7,0.428,13.3,0.0,,0.0906,0.0354,0.0675,0.00625,,,,5.98,104.0,0.0168,,0.0326,9.78,4.67,0.0328,0.015,1.01,,,,
"Apples, gala, with skin, raw",61.0,84.6,0.133,0.15,14.8,0.299,11.8,0.812,,0.0894,0.0318,0.0688,0.0112,,,,6.64,106.0,0.0235,,0.04,8.44,4.95,0.0339,0.0601,0.279,,,,
"Apples, granny smith, with skin, raw",59.0,85.1,0.266,0.138,14.1,0.314,10.7,0.0,,0.11,0.0279,0.075,0.0169,,,,5.48,116.0,0.0228,,0.0393,9.86,5.06,0.0354,0.0696,0.0,,,,
"Apples, honeycrisp, with skin, raw",60.0,85.0,0.102,0.1,14.7,0.0865,12.4,0.0,,0.0738,0.0328,0.0738,0.00875,,,,3.87,98.0,0.0183,,0.0397,7.85,4.15,0.0234,0.0,0.138,,,,
"Apples, red delicious, with skin, raw",62.0,84.7,0.188,0.212,14.8,0.148,12.2,0.0,,0.09,0.0213,0.0662,0.00875,,,,4.66,95.3,0.0196,,0.0295,9.18,4.7,0.0243,0.0,0.0,,,,
"Applesauce, unsweetened, with added vitamin C",52.0,87.1,0.273,0.162,12.3,0.202,9.66,,43.7,,,,,,,,3.82,108.0,0.00262,,0.0368,9.12,3.94,0.039,0.0448,0.504,0.0,426.0,0.0,5.41
"Bananas, overripe, raw",85.0,78.3,0.73,0.22,20.1,0.67,15.8,25.0,9.7,0.57,0.234,0.0,0.04,,1.0,,,,,,,,,,,,279.0,290.0,,
"Bananas, ripe and slightly ripe, raw",97.0,75.3,0.74,0.29,23.0,0.7,15.8,14.0,12.3,0.662,0.209,0.0,0.056,,1.0,,5.0,326.0,0.16,0.0,0.258,22.0,28.0,0.101,0.0,0.0,341.0,369.0,,
"Blueberries, raw",64.0,84.2,0.703,0.306,14.6,0.229,9.36,,8.06,,,,,,,,11.7,85.6,0.0853,,0.423,13.0,6.18,0.046,0.34,0.0,,,,
"Cherries, sweet, dark red, raw",70.0,82.2,1.04,0.192,16.2,0.425,13.9,,10.4,,0.0489,,,,,,12.3,230.0,0.0645,,0.0734,23.2,12.1,0.0692,0.105,0.0,0.0,762.0,0.0,0.0
"Cranberry juice, not fortified, from concentrate, shelf stable",32.0,92.3,0.0,0.338,7.26,0.0988,3.41,8.97,0.0,0.0095,0.00925,,0.0175,,,,6.64,70.6,0.0412,,0.211,3.3,4.38,0.0132,0.126,6.34,1160.0,756.0,0.0,1020.0
"Figs, dried, uncooked",249.0,30.0,3.3,0.92,63.9,1.86,47.9,9.0,1.2,0.619,0.106,0.082,0.085,0.434,0.0,32.0,162.0,680.0,0.66,0.6,0.51,67.0,67.6,0.287,2.03,10.0,,,,
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",66.0,83.7,0.258,0.288,15.6,0.122,14.0,0.664,45.6,0.0164,0.0387,,0.0259,,,,9.74,49.8,0.0571,,0.166,12.0,7.87,0.0147,0.0409,4.02,110.0,228.0,0.0,0.0
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",66.0,83.7,0.0938,0.265,15.8,0.138,14.4,1.73,55.2,0.00588,0.0141,,0.0,,,,7.32,49.0,0.0177,,0.0613,12.6,4.27,0.00446,0.119,7.19,217.0,89.2,0.0,0.0
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",41.0,89.8,0.57,0.267,9.1,0.221,7.12,19.0,24.1,0.0188,0.022,,0.0328,,,,8.88,128.0,0.0274,,0.0155,14.6,7.75,0.0241,0.0153,1.03,1080.0,37.4,0.0,0.0
"Grapefruit juice, white, canned or bottled, unsweetened",37.0,90.9,0.55,0.7,7.59,0.29,7.72,12.0,39.4,0.253,0.0,0.02,0.062,0.28,,,16.0,141.0,0.04,,0.02,17.0,9.6,0.032,0.07,1.0,,,,
"Grapes, green, seedless, raw",80.0,79.9,0.899,0.232,18.6,0.385,16.1,,3.02,,,,,,,,9.9,218.0,0.0267,,0.0836,22.0,7.12,0.0609,0.199,3.17,,,,
"Grapes, red, seedless, raw",86.0,78.2,0.914,0.164,20.2,0.535,17.3,,3.31,,,,,,,,10.2,229.0,0.036,,0.0976,24.9,8.56,0.0808,0.162,7.0,,,,
"Kiwifruit, green, raw",58.0,83.9,1.06,0.44,14.0,0.63,8.99,26.0,74.7,0.37,0.061,0.025,0.027,0.206,4.0,122.0,35.0,198.0,0.14,0.2,0.064,34.0,15.7,0.134,0.24,5.0,,,,
"Melons, cantaloupe, raw",34.0,90.2,0.82,0.18,8.16,0.63,7.88,14.0,10.9,0.694,0.04,0.027,0.049,0.085,232.0,32.0,9.0,157.0,0.44,1.7,0.046,17.0,13.0,0.085,0.38,30.0,,,,
"Nectarines, raw",39.0,89.0,1.06,0.28,9.18,0.48,7.89,6.0,2.9,1.12,0.025,0.027,0.034,0.185,21.0,130.0,2.0,131.0,0.21,0.0,0.047,26.0,8.8,0.082,0.3,13.0,,,,
"Olives, green, Manzanilla, stuffed with pimiento",130.0,76.7,1.15,12.9,4.96,4.29,0.0,0.0,0.0,0.103,0.0,0.0,0.041,0.0,25.0,340.0,121.0,43.0,0.09,,0.047,7.0,12.4,0.107,0.31,1620.0,,,,
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",47.0,88.2,0.734,0.325,10.3,0.35,8.28,29.8,26.9,0.0403,0.0429,,0.0701,,,,12.8,180.0,0.0319,,0.0299,18.2,10.6,0.0322,0.0646,5.23,706.0,161.0,0.0,12.3
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",46.0,88.5,0.812,0.356,10.0,0.339,8.08,29.0,30.5,0.0291,0.0411,,0.0746,,,,9.29,183.0,0.0321,,0.0277,19.0,10.3,0.0353,0.0706,0.075,757.0,160.0,0.0,0.0
"Oranges, raw, navels",47.0,86.7,0.91,0.15,11.8,0.43,8.57,25.0,59.1,0.425,0.079,0.051,0.068,0.261,,,43.0,166.0,0.11,0.0,0.029,23.0,10.7,0.064,0.33,9.0,,,,
"Peaches, yellow, raw",42.0,88.3,0.91,0.27,10.1,0.43,8.39,6.0,4.1,0.806,0.025,0.031,0.024,0.153,24.0,132.0,4.0,122.0,0.23,2.1,0.026,22.0,8.0,0.078,0.34,13.0,,,,
"Pears, raw, bartlett",57.0,84.1,0.38,0.16,15.1,0.3,9.69,6.0,4.4,0.164,0.026,0.026,0.012,0.042,1.0,48.0,8.0,87.0,0.07,0.2,0.032,10.0,5.7,0.07,0.17,7.0,,,,
"Pineapple, raw",60.0,85.0,0.461,0.211,14.1,0.246,11.4,,58.6,0.228,0.11,,0.0638,,,,12.5,137.0,0.107,,0.866,5.42,13.4,0.0954,0.054,0.0,685.0,264.0,0.0,0.0
"Raspberries, raw",57.0,85.6,1.01,0.188,12.9,0.35,2.68,,23.0,,,,,,,,16.4,156.0,0.221,,0.494,27.5,19.2,0.0529,0.45,0.0,1740.0,54.1,0.0,0.0
"Strawberries, raw",36.0,90.8,0.641,0.22,7.96,0.345,4.86,,59.6,,,,,,,,16.9,161.0,0.114,,0.368,23.0,12.5,0.0347,0.255,0.0,700.0,198.0,0.0,0.0
