,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
18,"Salsify, (vegetable oyster), raw",82.0,3.3,0.2,18.6,77.0,0.9,3.3,380.0,23.0,20.0,vegetable
130,"Alfalfa seeds, sprouted, raw",23.0,3.99,0.69,2.1,92.8,0.4,1.9,79.0,27.0,6.0,vegetable
131,"Amaranth leaves, cooked, boiled, drained, with salt",21.0,2.11,0.18,4.11,91.5,2.11,,641.0,55.0,257.0,vegetable
132,"Amaranth leaves, cooked, boiled, drained, without salt",21.0,2.11,0.18,4.11,91.5,2.11,,641.0,55.0,21.0,vegetable
133,"Amaranth leaves, raw",23.0,2.46,0.33,4.02,91.7,1.5,,611.0,55.0,20.0,vegetable
134,"Arrowhead, cooked, boiled, drained, with salt",78.0,4.49,0.1,16.1,77.1,2.19,,881.0,49.0,254.0,vegetable
135,"Arrowhead, cooked, boiled, drained, without salt",78.0,4.49,0.1,16.1,77.1,2.19,,881.0,49.0,18.0,vegetable
136,"Arrowhead, raw",99.0,5.33,0.29,20.2,72.5,1.67,,922.0,51.0,22.0,vegetable
137,"Arrowroot, raw",65.0,4.24,0.2,13.4,80.8,1.42,1.3,454.0,25.0,26.0,vegetable
138,"Artichokes, (globe or french), cooked, boiled, drained, with salt",51.0,2.89,0.34,11.4,84.1,1.3,5.7,286.0,42.0,296.0,vegetable
139,"Artichokes, (globe or french), cooked, boiled, drained, without salt",53.0,2.89,0.34,12.0,84.1,0.74,5.7,286.0,42.0,60.0,vegetable
140,"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",45.0,3.11,0.5,9.18,86.5,0.71,4.6,264.0,31.0,289.0,vegetable
141,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",45.0,3.11,0.5,9.18,86.5,0.71,4.6,264.0,31.0,53.0,vegetable
143,"Artichokes, (globe or french), raw",47.0,3.27,0.15,10.5,84.9,1.13,5.4,370.0,60.0,94.0,vegetable
144,"Arugula, raw",25.0,2.58,0.66,3.65,91.7,1.4,1.6,369.0,47.0,27.0,vegetable
148,"Asparagus, cooked, boiled, drained",22.0,2.4,0.22,4.11,92.6,0.63,2.0,224.0,14.0,14.0,vegetable
149,"Asparagus, cooked, boiled, drained, with salt",22.0,2.4,0.22,4.11,92.6,0.63,2.0,224.0,14.0,240.0,vegetable
150,"Asparagus, frozen, cooked, boiled, drained, with salt",18.0,2.95,0.42,1.92,94.1,0.61,1.6,172.0,10.0,240.0,vegetable
151,"Asparagus, frozen, cooked, boiled, drained, without salt",18.0,2.95,0.42,1.92,94.1,0.61,1.6,172.0,10.0,3.0,vegetable
153,"Asparagus, raw",20.0,2.2,0.12,3.88,93.2,0.58,2.1,202.0,14.0,2.0,vegetable
154,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",32.0,3.6,0.2,6.16,88.7,1.35,1.9,602.0,94.0,249.0,vegetable
155,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",34.0,3.6,0.2,6.68,88.7,0.83,1.9,602.0,94.0,13.0,vegetable
156,"Balsam-pear (bitter gourd), leafy tips, raw",30.0,5.3,0.69,3.29,89.2,1.47,,608.0,85.0,11.0,vegetable
157,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",19.0,0.84,0.18,4.32,94.0,0.71,2.0,319.0,16.0,242.0,vegetable
158,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",19.0,0.84,0.18,4.32,94.0,0.71,2.0,319.0,16.0,6.0,vegetable
159,"Balsam-pear (bitter gourd), pods, raw",17.0,1.0,0.17,3.7,94.0,1.1,2.8,296.0,17.0,5.0,vegetable
161,"Bamboo shoots, cooked, boiled, drained, with salt",11.0,1.53,0.22,1.52,95.9,0.81,1.0,533.0,3.0,240.0,vegetable
162,"Bamboo shoots, cooked, boiled, drained, without salt",12.0,1.53,0.22,1.92,95.9,0.41,1.0,533.0,3.0,4.0,vegetable
163,"Bamboo shoots, raw",27.0,2.6,0.3,5.2,91.0,0.9,2.2,533.0,3.0,4.0,vegetable
164,"Beans, fava, in pod, raw",88.0,7.92,0.73,17.6,72.6,1.12,7.5,332.0,33.0,25.0,vegetable
165,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",33.0,4.83,0.58,4.72,89.3,0.58,,194.0,23.0,243.0,vegetable
166,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",33.0,4.83,0.58,4.72,89.3,0.58,,194.0,23.0,7.0,vegetable
167,"Beans, kidney, mature seeds, sprouted, raw",29.0,4.2,0.5,4.1,90.7,0.5,,187.0,21.0,6.0,vegetable
169,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",78.0,7.07,0.81,15.0,76.0,1.09,,317.0,111.0,250.0,vegetable
170,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",78.0,7.07,0.81,15.0,76.0,1.09,,317.0,111.0,14.0,vegetable
171,"Beans, navy, mature seeds, sprouted, raw",67.0,6.15,0.7,13.0,79.2,0.95,,307.0,101.0,13.0,vegetable
172,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",162.0,9.31,0.48,30.9,58.0,1.33,5.4,646.0,54.0,319.0,vegetable
173,"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, without salt",162.0,9.31,0.48,30.9,58.0,1.33,5.4,646.0,54.0,83.0,vegetable
175,"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, with salt",20.0,1.86,0.32,3.5,93.4,0.93,,98.0,18.0,287.0,vegetable
176,"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, without salt",22.0,1.86,0.32,4.1,93.4,0.34,,98.0,18.0,51.0,vegetable
177,"Beans, pinto, mature seeds, sprouted, raw",62.0,5.25,0.9,11.6,81.3,0.95,,307.0,53.0,153.0,vegetable
184,"Beans, snap, green, cooked, boiled, drained, with salt",35.0,1.89,0.28,7.88,89.2,0.73,3.2,146.0,18.0,239.0,vegetable
185,"Beans, snap, green, cooked, boiled, drained, without salt",35.0,1.89,0.28,7.88,89.2,0.73,3.2,146.0,18.0,1.0,vegetable
188,"Beans, snap, green, frozen, cooked, boiled, drained without salt",28.0,1.49,0.17,6.45,91.4,0.47,3.0,159.0,19.0,1.0,vegetable
189,"Beans, snap, green, frozen, cooked, boiled, drained, with salt",28.0,1.49,0.17,6.45,91.4,0.47,3.0,159.0,19.0,245.0,vegetable
191,"Beans, snap, green, raw",31.0,1.83,0.22,6.97,90.3,0.66,2.7,211.0,25.0,6.0,vegetable
196,"Beans, snap, yellow, cooked, boiled, drained, with salt",35.0,1.89,0.28,7.88,89.2,0.73,3.3,299.0,25.0,239.0,vegetable
197,"Beans, snap, yellow, cooked, boiled, drained, without salt",35.0,1.89,0.28,7.88,89.2,0.73,3.3,299.0,25.0,3.0,vegetable
199,"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",28.0,1.49,0.17,6.45,91.4,0.47,3.0,126.0,24.0,245.0,vegetable
200,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",28.0,1.49,0.17,6.45,91.4,0.47,3.0,126.0,24.0,9.0,vegetable
201,"Beans, snap, yellow, raw",31.0,1.82,0.12,7.13,90.3,0.66,3.4,209.0,25.0,6.0,vegetable
202,"Beet greens, cooked, boiled, drained, with salt",27.0,2.57,0.2,5.46,89.1,2.64,2.9,909.0,68.0,477.0,vegetable
203,"Beet greens, cooked, boiled, drained, without salt",27.0,2.57,0.2,5.46,89.1,2.64,2.9,909.0,68.0,241.0,vegetable
204,"Beet greens, raw",22.0,2.2,0.13,4.33,91.0,2.33,3.7,762.0,70.0,226.0,vegetable
208,"Beets, cooked, boiled, drained",44.0,1.68,0.18,9.96,87.1,1.12,2.0,305.0,23.0,77.0,vegetable
209,"Beets, cooked, boiled. drained, with salt",44.0,1.68,0.18,9.96,87.1,1.12,2.0,305.0,23.0,285.0,vegetable
212,"Beets, raw",43.0,1.61,0.17,9.56,87.6,1.08,2.8,325.0,23.0,78.0,vegetable
213,"Borage, cooked, boiled, drained, with salt",25.0,2.09,0.81,3.55,91.9,1.67,,491.0,57.0,324.0,vegetable
214,"Borage, cooked, boiled, drained, without salt",25.0,2.09,0.81,3.55,91.9,1.67,,491.0,57.0,88.0,vegetable
215,"Borage, raw",21.0,1.8,0.7,3.06,93.0,1.44,,470.0,52.0,80.0,vegetable
216,"Broadbeans, immature seeds, cooked, boiled, drained, with salt",62.0,4.8,0.5,10.1,83.7,0.9,,193.0,31.0,277.0,vegetable
217,"Broadbeans, immature seeds, cooked, boiled, drained, without salt",62.0,4.8,0.5,10.1,83.7,0.9,3.6,193.0,31.0,41.0,vegetable
218,"Broadbeans, immature seeds, raw",72.0,5.6,0.6,11.7,81.0,1.1,4.2,250.0,38.0,50.0,vegetable
219,"Broccoli raab, cooked",25.0,3.83,0.52,3.12,91.4,1.11,2.8,343.0,27.0,56.0,vegetable
220,"Broccoli raab, raw",22.0,3.17,0.49,2.85,92.6,0.93,2.7,196.0,22.0,33.0,vegetable
221,"Broccoli, chinese, cooked",22.0,1.14,0.72,3.81,93.5,0.79,2.5,261.0,18.0,7.0,vegetable
222,"Broccoli, chinese, raw",26.0,1.2,0.76,4.67,92.6,0.83,2.6,274.0,19.0,7.0,vegetable
223,"Broccoli, cooked, boiled, drained, with salt",35.0,2.38,0.41,7.18,89.2,0.77,3.3,293.0,21.0,262.0,vegetable
224,"Broccoli, cooked, boiled, drained, without salt",35.0,2.38,0.41,7.18,89.2,0.77,3.3,293.0,21.0,41.0,vegetable
225,"Broccoli, flower clusters, raw",28.0,2.98,0.35,5.06,90.7,0.92,2.3,325.0,25.0,27.0,vegetable
226,"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",28.0,3.1,0.12,5.35,90.7,0.71,3.0,142.0,13.0,260.0,vegetable
227,"Broccoli, frozen, chopped, cooked, boiled, drained, without salt",28.0,3.1,0.12,5.35,90.7,0.71,3.0,142.0,13.0,11.0,vegetable
229,"Broccoli, frozen, spears, cooked, boiled, drained, with salt",28.0,3.1,0.11,5.35,90.7,0.71,3.0,180.0,20.0,260.0,vegetable
230,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",28.0,3.1,0.11,5.36,90.7,0.71,3.0,180.0,20.0,24.0,vegetable
232,"Broccoli, leaves, raw",28.0,2.98,0.35,5.06,90.7,0.92,2.3,325.0,25.0,27.0,vegetable
233,"Broccoli, raw",34.0,2.82,0.37,6.64,89.3,0.87,2.6,316.0,21.0,33.0,vegetable
234,"Broccoli, stalks, raw",28.0,2.98,0.35,5.24,90.7,0.92,,325.0,25.0,27.0,vegetable
235,"Brussels sprouts, cooked, boiled, drained, with salt",36.0,2.55,0.5,7.1,88.9,0.95,2.6,317.0,20.0,257.0,vegetable
236,"Brussels sprouts, cooked, boiled, drained, without salt",36.0,2.55,0.5,7.1,88.9,0.95,2.6,317.0,20.0,21.0,vegetable
237,"Brussels sprouts, frozen, cooked, boiled, drained, with salt",42.0,3.64,0.39,8.32,86.7,0.91,4.1,290.0,18.0,259.0,vegetable
238,"Brussels sprouts, frozen, cooked, boiled, drained, without salt",42.0,3.64,0.39,8.32,86.7,0.91,4.1,290.0,18.0,15.0,vegetable
240,"Brussels sprouts, raw",43.0,3.38,0.3,8.95,86.0,1.37,3.8,389.0,23.0,25.0,vegetable
241,"Burdock root, cooked, boiled, drained, with salt",88.0,2.09,0.14,21.2,75.6,0.98,1.8,360.0,39.0,240.0,vegetable
242,"Burdock root, cooked, boiled, drained, without salt",88.0,2.09,0.14,21.2,75.6,0.98,1.8,360.0,39.0,4.0,vegetable
243,"Burdock root, raw",72.0,1.53,0.15,17.3,80.1,0.89,3.3,308.0,38.0,5.0,vegetable
244,"Butterbur, (fuki), raw",14.0,0.39,0.04,3.61,94.5,1.46,,655.0,14.0,7.0,vegetable
246,"Butterbur, cooked, boiled, drained, with salt",8.0,0.23,0.02,2.16,96.7,0.88,,354.0,8.0,240.0,vegetable
247,"Butterbur, cooked, boiled, drained, without salt",8.0,0.23,0.02,2.16,96.7,0.88,,354.0,8.0,4.0,vegetable
248,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",12.0,1.56,0.16,1.78,95.6,0.95,1.0,371.0,11.0,270.0,vegetable
249,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",12.0,1.56,0.16,1.78,95.6,0.95,1.0,371.0,11.0,34.0,vegetable
250,"Cabbage, chinese (pak-choi), raw",13.0,1.5,0.2,2.18,95.3,0.8,1.0,252.0,19.0,65.0,vegetable
251,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt",14.0,1.5,0.17,2.41,95.2,0.68,1.7,225.0,10.0,245.0,vegetable
252,"Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt",14.0,1.5,0.17,2.41,95.2,0.68,1.7,225.0,10.0,9.0,vegetable
253,"Cabbage, chinese (pe-tsai), raw",16.0,1.2,0.2,3.23,94.4,0.98,1.2,238.0,13.0,9.0,vegetable
254,"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",24.0,1.21,0.18,5.37,92.5,0.72,2.3,246.0,15.0,18.0,vegetable
255,"Cabbage, common (danish, domestic, and pointed types), stored, raw",24.0,1.21,0.18,5.37,92.5,0.72,2.3,246.0,15.0,18.0,vegetable
256,"Cabbage, common, cooked, boiled, drained, with salt",23.0,1.27,0.06,5.51,92.6,0.59,1.9,196.0,15.0,255.0,vegetable
257,"Cabbage, cooked, boiled, drained, without salt",23.0,1.27,0.06,5.51,92.6,0.59,1.9,196.0,15.0,8.0,vegetable
261,"Cabbage, napa, cooked",12.0,1.1,0.17,2.23,96.3,0.17,,87.0,8.0,11.0,vegetable
262,"Cabbage, raw",25.0,1.28,0.1,5.8,92.2,0.64,2.5,170.0,12.0,18.0,vegetable
263,"Cabbage, red, cooked, boiled, drained, with salt",29.0,1.51,0.09,6.94,90.8,0.62,2.6,262.0,17.0,244.0,vegetable
264,"Cabbage, red, cooked, boiled, drained, without salt",29.0,1.51,0.09,6.94,90.8,0.62,2.6,262.0,17.0,28.0,vegetable
265,"Cabbage, red, raw",31.0,1.43,0.16,7.37,90.4,0.64,2.1,243.0,16.0,27.0,vegetable
266,"Cabbage, savoy, cooked, boiled, drained, with salt",24.0,1.8,0.09,5.41,92.0,0.7,2.8,184.0,24.0,260.0,vegetable
267,"Cabbage, savoy, cooked, boiled, drained, without salt",24.0,1.8,0.09,5.41,92.0,0.7,2.8,184.0,24.0,24.0,vegetable
268,"Cabbage, savoy, raw",27.0,2.0,0.1,6.1,91.0,0.8,3.1,230.0,28.0,28.0,vegetable
269,"Cardoon, cooked, boiled, drained, with salt",20.0,0.76,0.11,4.74,93.5,0.93,1.7,392.0,43.0,412.0,vegetable
270,"Cardoon, cooked, boiled, drained, without salt",22.0,0.76,0.11,5.33,93.5,0.34,1.7,392.0,43.0,176.0,vegetable
271,"Cardoon, raw",17.0,0.7,0.1,4.07,94.0,1.13,1.6,400.0,42.0,170.0,vegetable
274,"Carrots, baby, raw",35.0,0.64,0.13,8.24,90.4,0.63,2.9,237.0,10.0,78.0,vegetable
279,"Carrots, cooked, boiled, drained, with salt",35.0,0.76,0.18,8.22,90.2,0.67,3.0,235.0,10.0,302.0,vegetable
280,"Carrots, cooked, boiled, drained, without salt",35.0,0.76,0.18,8.22,90.2,0.67,3.0,235.0,10.0,58.0,vegetable
281,"Carrots, frozen, cooked, boiled, drained, with salt",37.0,0.58,0.68,7.73,90.3,0.69,3.3,192.0,11.0,295.0,vegetable
282,"Carrots, frozen, cooked, boiled, drained, without salt",37.0,0.58,0.68,7.73,90.3,0.69,3.3,192.0,11.0,59.0,vegetable
284,"Carrots, raw",41.0,0.93,0.24,9.58,88.3,0.97,2.8,320.0,12.0,69.0,vegetable
285,"Cassava, raw",160.0,1.36,0.28,38.1,59.7,0.62,1.8,271.0,21.0,14.0,vegetable
288,"Cauliflower, cooked, boiled, drained, with salt",23.0,1.84,0.45,4.11,93.0,0.6,2.3,142.0,9.0,242.0,vegetable
289,"Cauliflower, cooked, boiled, drained, without salt",23.0,1.84,0.45,4.11,93.0,0.6,2.3,142.0,9.0,15.0,vegetable
290,"Cauliflower, frozen, cooked, boiled, drained, with salt",17.0,1.61,0.22,3.16,94.0,1.01,2.7,139.0,9.0,254.0,vegetable
291,"Cauliflower, frozen, cooked, boiled, drained, without salt",19.0,1.61,0.22,3.75,94.0,0.42,2.7,139.0,9.0,18.0,vegetable
293,"Cauliflower, green, cooked, no salt added",32.0,3.04,0.31,6.28,89.5,0.9,3.3,278.0,19.0,23.0,vegetable
294,"Cauliflower, green, cooked, with salt",32.0,3.04,0.31,6.28,89.5,0.9,3.3,278.0,19.0,259.0,vegetable
295,"Cauliflower, green, raw",31.0,2.95,0.3,6.09,89.8,0.88,3.2,300.0,20.0,23.0,vegetable
296,"Cauliflower, raw",25.0,1.92,0.28,4.97,92.1,0.76,2.0,299.0,15.0,30.0,vegetable
297,"Celeriac, cooked, boiled, drained, with salt",27.0,0.96,0.19,5.9,92.3,0.64,,173.0,12.0,297.0,vegetable
298,"Celeriac, cooked, boiled, drained, without salt",27.0,0.96,0.19,5.9,92.3,0.64,1.2,173.0,12.0,61.0,vegetable
299,"Celeriac, raw",42.0,1.5,0.3,9.2,88.0,1.0,1.8,300.0,20.0,100.0,vegetable
300,"Celery, cooked, boiled, drained, with salt",18.0,0.83,0.16,4.0,94.1,0.9,1.6,284.0,12.0,327.0,vegetable
301,"Celery, cooked, boiled, drained, without salt",18.0,0.83,0.16,4.0,94.1,0.9,1.6,284.0,12.0,91.0,vegetable
302,"Celery, raw",14.0,0.69,0.17,2.97,95.4,0.75,1.6,260.0,11.0,80.0,vegetable
303,"Celtuce, raw",18.0,0.85,0.3,3.65,94.5,0.7,1.7,330.0,28.0,11.0,vegetable
304,"Chard, swiss, cooked, boiled, drained, with salt",20.0,1.88,0.08,4.13,92.6,1.26,2.1,549.0,86.0,415.0,vegetable
305,"Chard, swiss, cooked, boiled, drained, without salt",20.0,1.88,0.08,4.13,92.6,1.26,2.1,549.0,86.0,179.0,vegetable
306,"Chard, swiss, raw",19.0,1.8,0.2,3.74,92.7,1.6,1.6,379.0,81.0,213.0,vegetable
307,"Chayote, fruit, cooked, boiled, drained, with salt",22.0,0.62,0.48,4.5,93.4,0.97,2.8,173.0,12.0,237.0,vegetable
308,"Chayote, fruit, cooked, boiled, drained, without salt",24.0,0.62,0.48,5.09,93.4,0.38,2.8,173.0,12.0,1.0,vegetable
309,"Chayote, fruit, raw",19.0,0.82,0.13,4.51,94.2,0.3,1.7,125.0,12.0,2.0,vegetable
310,"Chicory greens, raw",23.0,1.7,0.3,4.7,92.0,1.3,4.0,420.0,30.0,45.0,vegetable
311,"Chicory roots, raw",72.0,1.4,0.2,17.5,80.0,0.89,1.5,290.0,22.0,50.0,vegetable
312,"Chicory, witloof, raw",17.0,0.9,0.1,4.0,94.5,0.47,3.1,211.0,10.0,2.0,vegetable
314,"Chives, raw",30.0,3.27,0.73,4.35,90.6,1.0,2.5,296.0,42.0,3.0,vegetable
315,"Chrysanthemum leaves, raw",24.0,3.36,0.56,3.01,91.4,1.67,3.0,567.0,32.0,118.0,vegetable
316,"Chrysanthemum, garland, cooked, boiled, drained, with salt",20.0,1.64,0.09,4.31,92.5,1.47,2.3,569.0,18.0,289.0,vegetable
317,"Chrysanthemum, garland, cooked, boiled, drained, without salt",20.0,1.64,0.09,4.31,92.5,1.47,2.3,569.0,18.0,53.0,vegetable
318,"Chrysanthemum, garland, raw",24.0,3.36,0.56,3.02,91.4,1.67,3.0,567.0,32.0,118.0,vegetable
319,"Collards, cooked, boiled, drained, with salt",33.0,2.71,0.72,5.65,90.2,0.73,4.0,117.0,21.0,252.0,vegetable
320,"Collards, cooked, boiled, drained, without salt",33.0,2.71,0.72,5.65,90.2,0.73,4.0,117.0,21.0,15.0,vegetable
321,"Collards, frozen, chopped, cooked, boiled, drained, with salt",36.0,2.97,0.41,7.1,88.5,1.05,2.8,251.0,30.0,286.0,vegetable
322,"Collards, frozen, chopped, cooked, boiled, drained, without salt",36.0,2.97,0.41,7.1,88.5,1.05,2.8,251.0,30.0,50.0,vegetable
324,"Collards, raw",32.0,3.02,0.61,5.42,89.6,1.32,4.0,213.0,27.0,17.0,vegetable
325,"Coriander (cilantro) leaves, raw",23.0,2.13,0.52,3.67,92.2,1.47,2.8,521.0,26.0,46.0,vegetable
335,"Corn, sweet, white, cooked, boiled, drained, with salt",97.0,3.34,1.41,21.7,72.8,0.7,2.7,252.0,31.0,253.0,vegetable
336,"Corn, sweet, white, cooked, boiled, drained, without salt",97.0,3.34,1.41,21.7,72.8,0.7,2.7,252.0,31.0,3.0,vegetable
340,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt",94.0,3.11,0.74,22.3,73.2,0.62,2.8,251.0,29.0,240.0,vegetable
341,"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt",94.0,3.11,0.74,22.3,73.2,0.62,2.1,251.0,29.0,4.0,vegetable
343,"Corn, sweet, white, raw",86.0,3.22,1.18,19.0,76.0,0.62,2.7,270.0,37.0,15.0,vegetable
352,"Corn, sweet, yellow, cooked, boiled, drained, with salt",96.0,3.41,1.5,21.0,73.4,0.71,2.4,218.0,26.0,253.0,vegetable
353,"Corn, sweet, yellow, cooked, boiled, drained, without salt",96.0,3.41,1.5,21.0,73.4,0.71,2.4,218.0,26.0,1.0,vegetable
356,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt",94.0,3.11,0.74,22.3,73.2,0.62,2.8,251.0,29.0,240.0,vegetable
357,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, without salt",94.0,3.11,0.74,22.3,73.2,0.62,2.8,251.0,29.0,4.0,vegetable
360,"Corn, sweet, yellow, raw",86.0,3.27,1.35,18.7,76.0,0.62,2.0,270.0,37.0,15.0,vegetable
362,"Cornsalad, raw",21.0,2.0,0.4,3.6,92.8,1.2,,459.0,13.0,4.0,vegetable
363,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",94.0,3.17,0.38,19.7,75.5,1.24,5.0,418.0,52.0,240.0,vegetable
364,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",97.0,3.17,0.38,20.3,75.5,0.65,5.0,418.0,52.0,4.0,vegetable
365,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",131.0,8.49,0.66,23.5,66.1,1.25,6.4,375.0,50.0,241.0,vegetable
366,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",132.0,8.49,0.66,23.8,66.1,0.99,6.4,375.0,50.0,5.0,vegetable
368,"Cowpeas (blackeyes), immature seeds, raw",90.0,2.95,0.35,18.8,77.2,0.67,5.0,431.0,51.0,4.0,vegetable
369,"Cowpeas, leafy tips, cooked, boiled, drained, with salt",22.0,4.67,0.1,2.8,91.3,1.13,,351.0,62.0,242.0,vegetable
370,"Cowpeas, leafy tips, cooked, boiled, drained, without salt",22.0,4.67,0.1,2.8,91.3,1.13,,351.0,62.0,6.0,vegetable
371,"Cowpeas, leafy tips, raw",29.0,4.1,0.25,4.82,89.8,1.05,,455.0,43.0,7.0,vegetable
