,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
643,"Potatoes, boiled, cooked in skin, skin, without salt",78.0,2.86,0.1,17.2,77.8,2.04,3.3,407.0,30.0,14.0,vegetable
644,"Potatoes, boiled, cooked without skin, flesh, with salt",86.0,1.71,0.1,20.0,77.5,0.72,2.0,328.0,20.0,241.0,vegetable
645,"Potatoes, boiled, cooked without skin, flesh, without salt",86.0,1.71,0.1,20.0,77.5,0.72,1.8,328.0,20.0,5.0,vegetable
649,"Potatoes, flesh and skin, raw",77.0,2.05,0.09,17.5,79.2,1.11,2.1,425.0,23.0,6.0,vegetable
668,"Potatoes, frozen, whole, cooked, boiled, drained, with salt",63.0,1.98,0.13,13.9,82.8,1.16,1.4,287.0,11.0,256.0,vegetable
669,"Potatoes, frozen, whole, cooked, boiled, drained, without salt",65.0,1.98,0.13,14.5,82.8,0.57,1.4,287.0,11.0,20.0,vegetable
689,"Potatoes, microwaved, cooked in skin, flesh and skin, without salt",105.0,2.44,0.1,24.2,72.0,1.18,2.3,447.0,27.0,8.0,vegetable
690,"Potatoes, microwaved, cooked in skin, flesh, with salt",100.0,2.1,0.1,23.3,73.6,0.97,1.6,411.0,25.0,243.0,vegetable
691,"Potatoes, microwaved, cooked in skin, flesh, without salt",100.0,2.1,0.1,23.3,73.6,0.97,1.6,411.0,25.0,7.0,vegetable
692,"Potatoes, microwaved, cooked in skin, skin, without salt",132.0,4.39,0.1,29.6,63.5,2.38,5.5,650.0,37.0,16.0,vegetable
693,"Potatoes, microwaved, cooked, in skin, flesh and skin, with salt",105.0,2.44,0.1,24.2,72.0,1.18,2.3,447.0,27.0,244.0,vegetable
694,"Potatoes, microwaved, cooked, in skin, skin with salt",132.0,4.39,0.1,29.6,63.5,2.38,5.5,650.0,37.0,252.0,vegetable
698,"Potatoes, raw, skin",58.0,2.57,0.1,12.4,83.3,1.61,2.5,413.0,23.0,10.0,vegetable
700,"Potatoes, red, flesh and skin, raw",70.0,1.89,0.14,15.9,81.0,1.1,1.7,455.0,22.0,18.0,vegetable
703,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)",79.0,2.14,0.08,18.1,78.6,1.13,1.3,417.0,23.0,5.0,vegetable
709,"Potatoes, white, flesh and skin, raw",69.0,1.68,0.1,15.7,81.6,0.94,2.4,407.0,21.0,16.0,vegetable
713,"Pumpkin flowers, cooked, boiled, drained, without salt",15.0,1.09,0.08,3.3,95.2,0.33,0.9,106.0,25.0,6.0,vegetable
714,"Pumpkin flowers, raw",15.0,1.03,0.07,3.28,95.2,0.48,,173.0,24.0,5.0,vegetable
715,"Pumpkin leaves, cooked, boiled, drained, with salt",21.0,2.72,0.22,3.39,92.5,1.16,2.7,438.0,38.0,244.0,vegetable
716,"Pumpkin leaves, cooked, boiled, drained, without salt",21.0,2.72,0.22,3.39,92.5,1.16,2.7,438.0,38.0,8.0,vegetable
717,"Pumpkin leaves, raw",19.0,3.15,0.4,2.33,92.9,1.24,,436.0,38.0,11.0,vegetable
721,"Pumpkin, cooked, boiled, drained, with salt",18.0,0.72,0.07,4.31,93.7,1.21,1.1,230.0,9.0,237.0,vegetable
722,"Pumpkin, cooked, boiled, drained, without salt",20.0,0.72,0.07,4.9,93.7,0.62,1.1,230.0,9.0,1.0,vegetable
723,"Pumpkin, flowers, cooked, boiled, drained, with salt",15.0,1.09,0.08,3.18,95.2,0.45,0.9,106.0,25.0,242.0,vegetable
724,"Pumpkin, raw",26.0,1.0,0.1,6.5,91.6,0.8,0.5,340.0,12.0,1.0,vegetable
725,"Purslane, cooked, boiled, drained, with salt",18.0,1.49,0.19,3.55,93.5,1.25,,488.0,67.0,280.0,vegetable
726,"Purslane, cooked, boiled, drained, without salt",18.0,1.49,0.19,3.55,93.5,1.25,,488.0,67.0,44.0,vegetable
727,"Purslane, raw",20.0,2.03,0.36,3.39,92.9,1.36,,494.0,68.0,45.0,vegetable
728,"Radicchio, raw",23.0,1.43,0.25,4.48,93.1,0.7,0.9,302.0,13.0,22.0,vegetable
729,"Radish seeds, sprouted, raw",43.0,3.81,2.53,3.6,90.1,0.53,,86.0,44.0,6.0,vegetable
731,"Radishes, oriental, cooked, boiled, drained, with salt",17.0,0.67,0.24,3.43,95.0,0.62,1.6,285.0,9.0,249.0,vegetable
732,"Radishes, oriental, cooked, boiled, drained, without salt",17.0,0.67,0.24,3.43,95.0,0.62,1.6,285.0,9.0,13.0,vegetable
734,"Radishes, oriental, raw",18.0,0.6,0.1,4.1,94.6,0.58,1.6,227.0,16.0,21.0,vegetable
735,"Radishes, raw",16.0,0.68,0.1,3.4,95.3,0.55,1.6,233.0,10.0,39.0,vegetable
736,"Radishes, white icicle, raw",14.0,1.1,0.1,2.63,95.4,0.8,1.4,280.0,9.0,16.0,vegetable
737,"Rutabagas, cooked, boiled, drained, with salt",30.0,0.93,0.18,6.84,91.5,0.51,1.8,216.0,10.0,254.0,vegetable
738,"Rutabagas, cooked, boiled, drained, without salt",30.0,0.93,0.18,6.84,91.5,0.51,1.8,216.0,10.0,5.0,vegetable
739,"Rutabagas, raw",37.0,1.08,0.16,8.62,89.4,0.71,2.3,305.0,20.0,12.0,vegetable
740,"Salsify, cooked, boiled, drained, with salt",68.0,2.73,0.17,15.4,81.0,0.74,3.1,283.0,18.0,252.0,vegetable
741,"Salsify, cooked, boiled, drained, without salt",68.0,2.73,0.17,15.4,81.0,0.74,3.1,283.0,18.0,16.0,vegetable
744,"Seaweed, agar, raw",26.0,0.54,0.03,6.75,91.3,1.36,0.5,226.0,67.0,9.0,vegetable
747,"Seaweed, irishmoss, raw",49.0,1.51,0.16,12.3,81.3,4.7,1.3,63.0,144.0,67.0,vegetable
748,"Seaweed, kelp, raw",43.0,1.68,0.56,9.57,81.6,6.61,1.3,89.0,121.0,233.0,vegetable
749,"Seaweed, laver, raw",35.0,5.81,0.28,5.11,85.0,3.77,0.3,356.0,2.0,48.0,vegetable
751,"Seaweed, spirulina, raw",26.0,5.92,0.39,2.42,90.7,0.6,0.4,127.0,19.0,98.0,vegetable
752,"Seaweed, wakame, raw",45.0,3.03,0.64,9.14,80.0,7.2,0.5,50.0,107.0,872.0,vegetable
753,"Sesbania flower, cooked, steamed, with salt",21.0,1.14,0.05,5.1,93.3,0.41,,107.0,12.0,247.0,vegetable
754,"Sesbania flower, cooked, steamed, without salt",22.0,1.14,0.05,5.23,93.3,0.28,,107.0,12.0,11.0,vegetable
755,"Sesbania flower, raw",27.0,1.28,0.04,6.73,91.6,0.38,,184.0,12.0,15.0,vegetable
757,"Shallots, raw",72.0,2.5,0.1,16.8,79.8,0.8,3.2,334.0,21.0,12.0,vegetable
758,"Soybeans, green, cooked, boiled, drained, with salt",141.0,12.4,6.4,11.0,68.6,1.6,4.2,539.0,60.0,250.0,vegetable
759,"Soybeans, green, cooked, boiled, drained, without salt",141.0,12.4,6.4,11.0,68.6,1.6,4.2,539.0,60.0,14.0,vegetable
760,"Soybeans, green, raw",147.0,13.0,6.8,11.0,67.5,1.7,4.2,620.0,65.0,15.0,vegetable
761,"Soybeans, mature seeds, sprouted, cooked, steamed",81.0,8.47,4.45,6.53,79.4,1.1,0.8,355.0,60.0,10.0,vegetable
762,"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",81.0,8.47,4.45,6.53,79.4,1.1,0.8,355.0,60.0,246.0,vegetable
763,"Soybeans, mature seeds, sprouted, cooked, stir-fried",125.0,13.1,7.1,9.4,67.2,3.2,0.8,567.0,96.0,14.0,vegetable
764,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",125.0,13.1,7.1,9.4,67.2,3.2,0.8,567.0,96.0,250.0,vegetable
765,"Soybeans, mature seeds, sprouted, raw",122.0,13.1,6.7,9.57,69.0,1.59,1.1,484.0,72.0,14.0,vegetable
770,"Spinach, cooked, boiled, drained, with salt",23.0,2.97,0.26,3.75,91.2,1.81,2.4,466.0,87.0,306.0,vegetable
771,"Spinach, cooked, boiled, drained, without salt",23.0,2.97,0.26,3.75,91.2,1.81,2.4,466.0,87.0,70.0,vegetable
772,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt",34.0,4.01,0.87,4.8,88.9,1.39,3.7,302.0,82.0,322.0,vegetable
773,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",34.0,4.01,0.87,4.8,88.9,1.39,3.7,302.0,82.0,97.0,vegetable
775,"Spinach, raw",23.0,2.86,0.39,3.63,91.4,1.72,2.2,558.0,79.0,79.0,vegetable
776,"Squash, summer, all varieties, cooked, boiled, drained, with salt",20.0,0.91,0.31,4.31,93.7,0.77,1.4,192.0,24.0,237.0,vegetable
777,"Squash, summer, all varieties, cooked, boiled, drained, without salt",20.0,0.91,0.31,4.31,93.7,0.77,1.4,192.0,24.0,1.0,vegetable
778,"Squash, summer, all varieties, raw",16.0,1.21,0.18,3.35,94.6,0.62,1.1,262.0,17.0,2.0,vegetable
780,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt",19.0,1.04,0.39,3.79,94.2,0.53,1.1,177.0,16.0,237.0,vegetable
781,"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",19.0,1.04,0.39,3.79,94.2,0.53,1.1,177.0,16.0,1.0,vegetable
782,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt",25.0,1.28,0.2,5.54,92.2,0.74,1.4,253.0,27.0,242.0,vegetable
783,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",25.0,1.28,0.2,5.54,92.2,0.74,1.4,253.0,27.0,6.0,vegetable
785,"Squash, summer, crookneck and straightneck, raw",19.0,1.01,0.27,3.88,94.3,0.56,1.0,222.0,20.0,2.0,vegetable
786,"Squash, summer, scallop, cooked, boiled, drained, with salt",16.0,1.03,0.17,3.3,95.0,0.5,1.9,140.0,19.0,237.0,vegetable
787,"Squash, summer, scallop, cooked, boiled, drained, without salt",16.0,1.03,0.17,3.3,95.0,0.5,1.9,140.0,19.0,1.0,vegetable
788,"Squash, summer, scallop, raw",18.0,1.2,0.2,3.84,94.2,0.58,1.2,182.0,23.0,1.0,vegetable
789,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt",15.0,1.14,0.36,2.69,95.2,0.59,1.0,264.0,19.0,239.0,vegetable
790,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",15.0,1.14,0.36,2.69,95.2,0.59,1.0,264.0,19.0,3.0,vegetable
791,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt",14.0,1.15,0.13,2.97,94.7,1.01,1.3,194.0,13.0,238.0,vegetable
792,"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",17.0,1.15,0.13,3.56,94.7,0.42,1.3,194.0,13.0,2.0,vegetable
794,"Squash, summer, zucchini, includes skin, raw",17.0,1.21,0.32,3.11,94.8,0.58,1.0,261.0,18.0,8.0,vegetable
796,"Squash, winter, acorn, cooked, baked, with salt",56.0,1.12,0.14,14.6,82.9,1.26,4.4,437.0,43.0,240.0,vegetable
797,"Squash, winter, acorn, cooked, baked, without salt",56.0,1.12,0.14,14.6,82.9,1.26,4.4,437.0,43.0,4.0,vegetable
798,"Squash, winter, acorn, cooked, boiled, mashed, with salt",34.0,0.67,0.08,8.79,89.7,0.76,2.6,263.0,26.0,239.0,vegetable
799,"Squash, winter, acorn, cooked, boiled, mashed, without salt",34.0,0.67,0.08,8.79,89.7,0.76,2.6,263.0,26.0,3.0,vegetable
800,"Squash, winter, acorn, raw",40.0,0.8,0.1,10.4,87.8,0.9,1.5,347.0,32.0,3.0,vegetable
801,"Squash, winter, all varieties, cooked, baked, with salt",37.0,0.89,0.35,8.85,89.2,0.69,2.8,241.0,13.0,237.0,vegetable
802,"Squash, winter, all varieties, cooked, baked, without salt",37.0,0.89,0.35,8.85,89.2,0.69,2.8,241.0,13.0,1.0,vegetable
803,"Squash, winter, all varieties, raw",34.0,0.95,0.13,8.59,89.8,0.57,1.5,350.0,14.0,4.0,vegetable
804,"Squash, winter, butternut, cooked, baked, with salt",40.0,0.9,0.09,10.5,87.8,0.72,3.2,284.0,29.0,240.0,vegetable
805,"Squash, winter, butternut, cooked, baked, without salt",40.0,0.9,0.09,10.5,87.8,0.72,3.2,284.0,29.0,4.0,vegetable
806,"Squash, winter, butternut, frozen, cooked, boiled, with salt",39.0,1.23,0.07,10.0,87.8,0.86,,133.0,9.0,238.0,vegetable
807,"Squash, winter, butternut, frozen, cooked, boiled, without salt",39.0,1.23,0.07,10.0,87.8,0.86,,133.0,9.0,2.0,vegetable
809,"Squash, winter, butternut, raw",45.0,1.0,0.1,11.7,86.4,0.8,2.0,352.0,34.0,4.0,vegetable
812,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",30.0,1.48,0.37,6.46,91.1,0.59,2.9,214.0,13.0,241.0,vegetable
813,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",30.0,1.48,0.37,6.46,91.1,0.59,2.9,214.0,13.0,5.0,vegetable
814,"Squash, winter, hubbard, raw",40.0,2.0,0.5,8.7,88.0,0.8,3.9,320.0,19.0,7.0,vegetable
815,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt",27.0,0.66,0.26,6.46,92.3,0.32,1.4,117.0,11.0,254.0,vegetable
816,"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",27.0,0.66,0.26,6.46,92.3,0.32,1.4,117.0,11.0,18.0,vegetable
817,"Squash, winter, spaghetti, raw",31.0,0.64,0.57,6.91,91.6,0.28,1.5,108.0,12.0,17.0,vegetable
818,"Squash, zucchini, baby, raw",21.0,2.71,0.4,3.11,92.7,1.05,1.1,459.0,33.0,3.0,vegetable
821,"Succotash, (corn and limas), cooked, boiled, drained, with salt",111.0,5.07,0.8,24.4,68.4,1.39,,410.0,53.0,253.0,vegetable
822,"Succotash, (corn and limas), cooked, boiled, drained, without salt",115.0,5.07,0.8,24.4,68.4,1.39,4.5,410.0,53.0,17.0,vegetable
823,"Succotash, (corn and limas), frozen, cooked, boiled, drained, with salt",93.0,4.31,0.89,20.0,74.1,0.75,4.1,265.0,23.0,281.0,vegetable
824,"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",93.0,4.31,0.89,20.0,74.1,0.75,4.1,265.0,23.0,45.0,vegetable
826,"Succotash, (corn and limas), raw",99.0,5.03,1.02,19.6,73.1,1.26,3.8,369.0,48.0,4.0,vegetable
827,"Sweet potato leaves, cooked, steamed, with salt",35.0,2.18,0.34,7.38,89.2,0.89,1.9,312.0,48.0,249.0,vegetable
828,"Sweet potato leaves, cooked, steamed, without salt",35.0,2.18,0.34,7.38,89.2,0.89,1.9,312.0,48.0,7.0,vegetable
829,"Sweet potato leaves, raw",42.0,2.49,0.51,8.82,86.8,1.36,5.3,508.0,70.0,6.0,vegetable
835,"Sweet potato, cooked, baked in skin, flesh, with salt",90.0,2.01,0.15,20.7,75.8,1.35,3.3,475.0,27.0,246.0,vegetable
836,"Sweet potato, cooked, baked in skin, flesh, without salt",90.0,2.01,0.15,20.7,75.8,1.35,3.3,475.0,27.0,36.0,vegetable
837,"Sweet potato, cooked, boiled, without skin",76.0,1.37,0.14,17.7,80.1,0.63,2.5,230.0,18.0,27.0,vegetable
838,"Sweet potato, cooked, boiled, without skin, with salt",76.0,1.37,0.14,17.7,80.1,0.63,2.5,230.0,18.0,263.0,vegetable
839,"Sweet potato, cooked, candied, home-prepared",164.0,0.89,3.54,32.1,62.8,0.69,2.1,178.0,13.0,119.0,vegetable
840,"Sweet potato, frozen, cooked, baked, with salt",100.0,1.71,0.12,23.4,73.7,1.07,1.8,377.0,21.0,244.0,vegetable
841,"Sweet potato, frozen, cooked, baked, without salt",100.0,1.71,0.12,23.4,73.7,1.07,1.8,377.0,21.0,8.0,vegetable
843,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",86.0,1.57,0.05,20.1,77.3,0.99,3.0,337.0,25.0,55.0,vegetable
846,"Taro leaves, cooked, steamed, without salt",24.0,2.72,0.41,4.02,92.2,0.7,2.0,460.0,20.0,2.0,vegetable
847,"Taro leaves, raw",42.0,4.98,0.74,6.7,85.7,1.92,3.7,648.0,45.0,3.0,vegetable
848,"Taro shoots, cooked, without salt",14.0,0.73,0.08,3.2,95.3,0.7,,344.0,8.0,2.0,vegetable
849,"Taro shoots, raw",11.0,0.92,0.09,2.32,95.8,0.85,,332.0,8.0,1.0,vegetable
850,"Taro, cooked, with salt",142.0,0.52,0.11,34.6,63.8,0.97,5.1,484.0,30.0,251.0,vegetable
851,"Taro, cooked, without salt",142.0,0.52,0.11,34.6,63.8,0.97,5.1,484.0,30.0,15.0,vegetable
852,"Taro, leaves, cooked, steamed, with salt",24.0,2.72,0.41,3.89,92.2,0.83,2.0,460.0,20.0,238.0,vegetable
853,"Taro, raw",112.0,1.5,0.2,26.5,70.6,1.2,4.1,591.0,33.0,11.0,vegetable
854,"Taro, shoots, cooked, with salt",14.0,0.73,0.08,3.19,95.3,0.7,,344.0,8.0,238.0,vegetable
855,"Taro, tahitian, cooked, with salt",44.0,4.16,0.68,6.85,86.5,1.85,,623.0,51.0,290.0,vegetable
856,"Taro, tahitian, cooked, without salt",44.0,4.16,0.68,6.85,86.5,1.85,,623.0,51.0,54.0,vegetable
857,"Taro, tahitian, raw",44.0,2.79,0.97,6.91,88.0,1.38,,606.0,47.0,50.0,vegetable
858,"Tomatillos, raw",32.0,0.96,1.02,5.84,91.6,0.55,1.9,268.0,20.0,1.0,vegetable
874,"Tomatoes, green, raw",23.0,1.2,0.2,5.1,93.0,0.5,1.1,204.0,10.0,13.0,vegetable
875,"Tomatoes, orange, raw",16.0,1.16,0.19,3.18,94.8,0.69,0.9,212.0,8.0,42.0,vegetable
880,"Tomatoes, red, ripe, cooked",18.0,0.95,0.11,4.01,94.3,0.6,0.7,218.0,9.0,11.0,vegetable
881,"Tomatoes, red, ripe, cooked, stewed",79.0,1.96,2.68,13.0,80.6,1.68,1.7,247.0,15.0,455.0,vegetable
882,"Tomatoes, red, ripe, cooked, with salt",18.0,0.95,0.11,4.01,94.3,0.6,0.7,218.0,9.0,247.0,vegetable
883,"Tomatoes, red, ripe, raw, year round average",18.0,0.88,0.2,3.89,94.5,0.5,1.2,237.0,11.0,5.0,vegetable
886,"Tomatoes, yellow, raw",15.0,0.98,0.26,2.98,95.3,0.5,0.7,258.0,12.0,23.0,vegetable
887,"Tree fern, cooked, with salt",40.0,0.29,0.07,10.8,88.6,0.26,3.7,5.0,5.0,241.0,vegetable
888,"Tree fern, cooked, without salt",40.0,0.29,0.07,11.0,88.6,0.06,3.7,5.0,5.0,5.0,vegetable
889,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",34.0,2.99,0.38,4.74,91.0,0.85,3.1,216.0,24.0,255.0,vegetable
890,"Turnip greens and turnips, frozen, cooked, boiled, drained, without salt",35.0,2.99,0.38,4.85,91.0,0.74,3.1,216.0,24.0,19.0,vegetable
894,"Turnip greens, cooked, boiled, drained, with salt",20.0,1.14,0.23,4.36,93.2,1.07,3.5,203.0,22.0,265.0,vegetable
895,"Turnip greens, cooked, boiled, drained, without salt",20.0,1.14,0.23,4.36,93.2,1.07,3.5,203.0,22.0,29.0,vegetable
896,"Turnip greens, frozen, cooked, boiled, drained, with salt",29.0,3.35,0.42,4.98,90.4,0.85,3.4,224.0,26.0,251.0,vegetable
897,"Turnip greens, frozen, cooked, boiled, drained, without salt",29.0,3.35,0.42,4.98,90.4,0.85,3.4,224.0,26.0,15.0,vegetable
899,"Turnip greens, raw",32.0,1.5,0.3,7.13,89.7,1.4,3.2,296.0,31.0,40.0,vegetable
900,"Turnips, cooked, boiled, drained, with salt",22.0,0.71,0.08,5.06,93.6,0.55,2.0,135.0,8.0,286.0,vegetable
901,"Turnips, cooked, boiled, drained, without salt",22.0,0.71,0.08,5.06,93.6,0.55,2.0,177.0,9.0,16.0,vegetable
902,"Turnips, frozen, cooked, boiled, drained, with salt",21.0,1.53,0.24,3.73,93.6,0.9,2.0,182.0,14.0,272.0,vegetable
903,"Turnips, frozen, cooked, boiled, drained, without salt",23.0,1.53,0.24,4.35,93.6,0.28,2.0,182.0,14.0,36.0,vegetable
905,"Turnips, raw",28.0,0.9,0.1,6.43,91.9,0.7,1.8,191.0,11.0,67.0,vegetable
906,"Vinespinach, (basella), raw",19.0,1.8,0.3,3.4,93.1,1.4,,510.0,65.0,24.0,vegetable
907,"Wasabi, root, raw",109.0,4.8,0.63,23.5,69.1,1.92,7.8,568.0,69.0,17.0,vegetable
908,"Water convolvulus, cooked, boiled, drained, with salt",20.0,2.08,0.24,3.7,92.9,1.05,1.9,284.0,30.0,358.0,vegetable
909,"Water convolvulus, cooked, boiled, drained, without salt",20.0,2.08,0.24,3.7,92.9,1.05,1.9,284.0,30.0,122.0,vegetable
911,"Waterchestnuts, chinese, (matai), raw",97.0,1.4,0.1,23.9,73.5,1.1,3.0,584.0,22.0,14.0,vegetable
913,"Watercress, raw",11.0,2.3,0.1,1.29,95.1,1.2,0.5,330.0,21.0,41.0,vegetable
914,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, with salt",11.0,0.4,0.2,2.45,96.1,0.89,1.0,5.0,10.0,343.0,vegetable
915,"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",14.0,0.4,0.2,3.04,96.1,0.3,1.0,5.0,10.0,107.0,vegetable
916,"Waxgourd, (chinese preserving melon), raw",13.0,0.4,0.2,3.0,96.1,0.3,2.9,6.0,10.0,111.0,vegetable
917,"Winged bean leaves, raw",74.0,5.85,1.1,14.1,76.8,2.1,,176.0,8.0,9.0,vegetable
918,"Winged bean tuber, raw",148.0,11.6,0.9,28.1,57.4,2.0,,586.0,24.0,35.0,vegetable
919,"Winged bean, immature seeds, cooked, boiled, drained, with salt",37.0,5.31,0.66,3.21,90.1,0.71,,274.0,30.0,240.0,vegetable
920,"Winged beans, immature seeds, cooked, boiled, drained, without salt",38.0,5.31,0.66,3.21,90.1,0.71,,274.0,30.0,4.0,vegetable
921,"Winged beans, immature seeds, raw",49.0,6.95,0.87,4.31,87.0,0.83,,223.0,34.0,4.0,vegetable
922,"Yam, cooked, boiled, drained, or baked, with salt",114.0,1.49,0.14,27.0,70.1,1.25,3.9,670.0,18.0,244.0,vegetable
923,"Yam, cooked, boiled, drained, or baked, without salt",116.0,1.49,0.14,27.5,70.1,0.76,3.9,670.0,18.0,8.0,vegetable
924,"Yam, raw",118.0,1.53,0.17,27.9,69.6,0.82,4.1,816.0,21.0,9.0,vegetable
925,"Yambean (jicama), cooked, boiled, drained, with salt",36.0,0.72,0.09,8.23,90.1,0.89,,135.0,11.0,242.0,vegetable
926,"Yambean (jicama), cooked, boiled, drained, without salt",38.0,0.72,0.09,8.82,90.1,0.3,,135.0,11.0,4.0,vegetable
927,"Yambean (jicama), raw",38.0,0.72,0.09,8.82,90.1,0.3,4.9,150.0,12.0,4.0,vegetable
928,"Yardlong bean, cooked, boiled, drained, with salt",47.0,2.53,0.1,9.17,87.5,0.73,,290.0,42.0,240.0,vegetable
929,"Yardlong bean, cooked, boiled, drained, without salt",47.0,2.53,0.1,9.18,87.5,0.73,,290.0,42.0,4.0,vegetable
930,"Yardlong bean, raw",47.0,2.8,0.4,8.35,87.8,0.6,,240.0,44.0,4.0,vegetable
931,"Yautia (tannier), raw",98.0,1.46,0.4,23.6,73.1,1.45,1.5,598.0,24.0,21.0,vegetable
